Stock,ACS,Acciona,ArcelorMittal,BBVA,Banco Sabadell,Banco Santander,Bankinter,Enagás,Ferrovial,Grifols,Iberdrola,Inditex,Indra Sistemas,International Airlines Group,Mapfre,Naturgy,Red Eléctrica de España,Repsol,Telefónica
ACS,1.0,0.4702105985136811,0.499483166774801,0.5721236284518323,0.4890486924241934,0.6006481998787514,0.46233177740420367,0.39341753222479664,0.5967639114978363,0.21106621237924336,0.4881117450422643,0.4535020060895781,0.40100910099179743,0.47324810974948417,0.5343314522035663,0.45513947870516913,0.3699373603520359,0.5347930545340045,0.4884358080171169
Acciona,0.4702105985136811,1.0,0.35008547784724436,0.4495337229797901,0.3514506768748418,0.4600241213393346,0.3539257536991111,0.48366624482781206,0.4781525923926279,0.25683087585994757,0.5921931406771067,0.3727001542581658,0.32507340774350585,0.30384132648698997,0.4216838652680195,0.5220478499349211,0.5094759280661261,0.40216256181461724,0.4660731022729639
ArcelorMittal,0.499483166774801,0.35008547784724436,1.0,0.5526788732299887,0.43534453881065366,0.5756767743801467,0.3763001786952755,0.2647317176827224,0.3983862952112055,0.1861915184979342,0.3400497727924446,0.3758710369538003,0.3782602789985349,0.41331560264363,0.4649858172130274,0.3428817211930691,0.23010736323259628,0.5424729907496816,0.42187176905459206
BBVA,0.5721236284518323,0.4495337229797901,0.5526788732299887,1.0,0.6979275292180481,0.8745474087155004,0.6290229373652864,0.37818876647843946,0.5170686461380726,0.23189957329365837,0.5345890208047646,0.4943629796611689,0.4119263800837058,0.5131973615785829,0.6465052936679613,0.4736691406874223,0.35456171718949053,0.5888290475862933,0.6164704931497694
Banco Sabadell,0.4890486924241934,0.3514506768748418,0.43534453881065366,0.6979275292180481,1.0,0.7168230458610995,0.5978321684232093,0.27855376112565355,0.41090569060157617,0.19099226621720533,0.3475907815848521,0.3648054910190153,0.3581265363969499,0.44568745007778143,0.5524755188550285,0.35409729154230296,0.24448396511313675,0.47831120753060336,0.48234966954267294
Banco Santander,0.6006481998787514,0.4600241213393346,0.5756767743801467,0.8745474087155004,0.7168230458610995,1.0,0.6365550677233041,0.37778474815817487,0.5288406413761839,0.24785279201987206,0.5363555220133281,0.5027282082756036,0.41669148929468564,0.5308977524750446,0.6735755019845965,0.48389373734497426,0.3616563809426925,0.6218120964362875,0.6516976527733782
Bankinter,0.46233177740420367,0.3539257536991111,0.3763001786952755,0.6290229373652864,0.5978321684232093,0.6365550677233041,1.0,0.29212747201595013,0.4023384061530419,0.15574705369566516,0.4002995188764983,0.3471117822881939,0.3459999469737927,0.37759694728760745,0.5280990813298614,0.3707448181330462,0.2742898716417837,0.4471799984739677,0.44386047537269074
Enagás,0.39341753222479664,0.48366624482781206,0.2647317176827224,0.37818876647843946,0.27855376112565355,0.37778474815817487,0.29212747201595013,1.0,0.4389807538630368,0.23209147198604288,0.5887224756210292,0.35614565762989,0.2905324112701167,0.2630952111437011,0.4004020516069066,0.6136148403054246,0.6798704804219187,0.40189176843202806,0.47440120296872
Ferrovial,0.5967639114978363,0.4781525923926279,0.3983862952112055,0.5170686461380726,0.41090569060157617,0.5288406413761839,0.4023384061530419,0.4389807538630368,1.0,0.2753287605342663,0.5174918316420198,0.5008307110874243,0.38557112535981164,0.4948375980429424,0.49109722135275835,0.4751895390892299,0.4325660659628216,0.45549569855874145,0.4685091032133744
Grifols,0.21106621237924336,0.25683087585994757,0.1861915184979342,0.23189957329365837,0.19099226621720533,0.24785279201987206,0.15574705369566516,0.23209147198604288,0.2753287605342663,1.0,0.24362682499820368,0.26175738053964415,0.19758661648667378,0.21772258604739925,0.2175811205027661,0.23619233405661735,0.23771664450803343,0.1721706669564809,0.24519234351046665
Iberdrola,0.4881117450422643,0.5921931406771067,0.3400497727924446,0.5345890208047646,0.3475907815848521,0.5363555220133281,0.4002995188764983,0.5887224756210292,0.5174918316420198,0.24362682499820368,1.0,0.42963370988869115,0.33612708785279033,0.31698316542572574,0.5162876093741801,0.6483356518654713,0.6148659087712653,0.4533918667737594,0.5915989240508767
Inditex,0.4535020060895781,0.3727001542581658,0.3758710369538003,0.4943629796611689,0.3648054910190153,0.5027282082756036,0.3471117822881939,0.35614565762989,0.5008307110874243,0.26175738053964415,0.42963370988869115,1.0,0.31564304474389976,0.4386832531644216,0.4312071922724946,0.3850391671294085,0.34415551546044126,0.4194636478935027,0.4456731944337723
Indra Sistemas,0.40100910099179743,0.32507340774350585,0.3782602789985349,0.4119263800837058,0.3581265363969499,0.41669148929468564,0.3459999469737927,0.2905324112701167,0.38557112535981164,0.19758661648667378,0.33612708785279033,0.31564304474389976,1.0,0.3352871372271363,0.3889640136103905,0.32717126394218154,0.2545606083922005,0.369106018121777,0.36860602929227265
International Airlines Group,0.47324810974948417,0.30384132648698997,0.41331560264363,0.5131973615785829,0.44568745007778143,0.5308977524750446,0.37759694728760745,0.2630952111437011,0.4948375980429424,0.21772258604739925,0.31698316542572574,0.4386832531644216,0.3352871372271363,1.0,0.42588789930084053,0.3116698777388027,0.21938129852869742,0.3777475179749,0.3872129700242395
Mapfre,0.5343314522035663,0.4216838652680195,0.4649858172130274,0.6465052936679613,0.5524755188550285,0.6735755019845965,0.5280990813298614,0.4004020516069066,0.49109722135275835,0.2175811205027661,0.5162876093741801,0.4312071922724946,0.3889640136103905,0.42588789930084053,1.0,0.46558967685936653,0.3723509011816654,0.5382940920336607,0.591801993283736
Naturgy,0.45513947870516913,0.5220478499349211,0.3428817211930691,0.4736691406874223,0.35409729154230296,0.48389373734497426,0.3707448181330462,0.6136148403054246,0.4751895390892299,0.23619233405661735,0.6483356518654713,0.3850391671294085,0.32717126394218154,0.3116698777388027,0.46558967685936653,1.0,0.5800374162203856,0.4699176769367931,0.5305288831139906
Red Eléctrica de España,0.3699373603520359,0.5094759280661261,0.23010736323259628,0.35456171718949053,0.24448396511313675,0.3616563809426925,0.2742898716417837,0.6798704804219187,0.4325660659628216,0.23771664450803343,0.6148659087712653,0.34415551546044126,0.2545606083922005,0.21938129852869742,0.3723509011816654,0.5800374162203856,1.0,0.3394064085758168,0.4499783420672047
Repsol,0.5347930545340045,0.40216256181461724,0.5424729907496816,0.5888290475862933,0.47831120753060336,0.6218120964362875,0.4471799984739677,0.40189176843202806,0.45549569855874145,0.1721706669564809,0.4533918667737594,0.4194636478935027,0.369106018121777,0.3777475179749,0.5382940920336607,0.4699176769367931,0.3394064085758168,1.0,0.5630071332918218
Telefónica,0.4884358080171169,0.4660731022729639,0.42187176905459206,0.6164704931497694,0.48234966954267294,0.6516976527733782,0.44386047537269074,0.47440120296872,0.4685091032133744,0.24519234351046665,0.5915989240508767,0.4456731944337723,0.36860602929227265,0.3872129700242395,0.591801993283736,0.5305288831139906,0.4499783420672047,0.5630071332918218,1.0
